reconstruction,20,40,60,80,100
L2,33.54 / 0.943 / 0.233,33.98 / 0.948 / 0.218,36.70 / 0.968 / 0.180,43.30 / 0.991 / 0.096,43.86 / 0.991 / 0.088
L1,33.26 / 0.938 / 0.248,35.97 / 0.964 / 0.197,40.53 / 0.985 / 0.129,43.15 / 0.990 / 0.102,44.06 / 0.992 / 0.083
TV,32.64 / 0.929 / 0.273,36.69 / 0.969 / 0.187,40.19 / 0.983 / 0.138,42.63 / 0.989 / 0.111,43.54 / 0.991 / 0.099
L2_L1,33.03 / 0.939 / 0.243,35.91 / 0.963 / 0.199,40.67 / 0.985 / 0.124,43.30 / 0.991 / 0.096,42.95 / 0.990 / 0.100
L2_TV,33.54 / 0.943 / 0.233,36.58 / 0.967 / 0.190,40.30 / 0.984 / 0.135,43.00 / 0.990 / 0.100,43.86 / 0.991 / 0.088
L1_TV,33.26 / 0.938 / 0.248,36.72 / 0.969 / 0.190,40.53 / 0.985 / 0.129,43.15 / 0.990 / 0.102,44.06 / 0.992 / 0.083
L2_L1_TV,33.61 / 0.944 / 0.237,37.04 / 0.971 / 0.179,40.67 / 0.985 / 0.124,43.30 / 0.991 / 0.096,44.21 / 0.992 / 0.081
