reconstruction,Unet,ResnetUnet,ConvUNeXt
L2,32.79 / 0.930 / 0.247,33.54 / 0.943 / 0.233,33.55 / 0.944 / 0.223
L1,33.59 / 0.941 / 0.225,33.26 / 0.938 / 0.248,33.95 / 0.937 / 0.221
TV,32.88 / 0.933 / 0.248,32.64 / 0.929 / 0.273,33.83 / 0.941 / 0.227
L2_L1,32.79 / 0.930 / 0.247,33.03 / 0.939 / 0.243,33.55 / 0.944 / 0.223
L2_TV,33.05 / 0.933 / 0.251,33.54 / 0.943 / 0.233,33.88 / 0.942 / 0.223
L1_TV,33.41 / 0.941 / 0.239,33.26 / 0.938 / 0.248,33.95 / 0.937 / 0.221
L2_L1_TV,33.39 / 0.925 / 0.240,33.61 / 0.944 / 0.237,34.15 / 0.944 / 0.217
