,id,psnr,ssim,lpips
0,000308339072_slice8,41.97542564628116,0.9878892176275254,0.06328024715185165
1,000314025202_slice15,42.47445805459514,0.9908525952625274,0.052631184458732605
2,000311228084_slice11,37.73122766732833,0.9772449883384705,0.08898813277482986
3,001083789439_slice24,41.784093775705685,0.988224250418663,0.23233841359615326
4,000500882566_slice23,40.574182759206955,0.9892196180057525,0.13434264063835144
5,000961719234_slice15,37.639006196426244,0.9737440158443451,0.16095341742038727
6,000337412566_slice14,42.23255476698293,0.9901522111196518,0.04721291363239288
7,000696960682_slice9,43.684868122027154,0.9917127420320511,0.04046638309955597
8,001025550152_slice16,38.003048293019496,0.98344450979805,0.15945115685462952
9,001012126889_slice17,38.382826340339854,0.9818237061109543,0.17529170215129852
10,000399869215_slice13,39.95949830420225,0.9857203028411865,0.05530877783894539
11,000947193547_slice5,37.79457244265019,0.9800552526016235,0.17451803386211395
12,000347539107_slice26,45.800383334403506,0.9947356747694015,0.04805661737918854
13,001808538100_slice9,35.17059774543837,0.9673800709638596,0.17615462839603424
14,001096709026_slice16,36.76654566788856,0.978635155424118,0.15956653654575348
15,000316805394_slice11,39.95684065737,0.9871085319576264,0.04944448918104172
16,000911620924_slice18,36.93885838661006,0.9697413875141144,0.1739964485168457
17,000543307151_slice17,41.62581790031571,0.9901826307115554,0.048658620566129684
18,001842259648_slice24,45.37687542052133,0.992685328204155,0.09945958852767944
19,001063297025_slice9,42.3235921240928,0.9893621437997818,0.06250311434268951
20,001096709026_slice21,38.575118283446265,0.984400695239067,0.18656916916370392
21,000550563000_slice3,38.85353664024724,0.9838350093135834,0.1278473436832428
22,000550563000_slice1,38.7400607694684,0.982988733464241,0.13703671097755432
23,000995235335_slice8,36.33967740721777,0.9671412738647461,0.16471979022026062
24,001879352377_slice21,40.636009402668776,0.9884680105257034,0.18063798546791077
25,000945426716_slice8,38.944516580503084,0.977812539235115,0.16346728801727295
26,000500882566_slice15,38.50627189256418,0.9847084164209365,0.09976162016391754
27,000543307151_slice25,45.30158030677018,0.9944442835073471,0.05336247757077217
28,001037881059_slice12,37.84032548267122,0.9801582633714676,0.17969487607479095
29,001808538100_slice8,35.27380188385834,0.9669956380767822,0.17317138612270355
