,id,psnr,ssim,lpips
0,000308339072_slice8,37.8770335262785,0.9724690286769867,0.1268444061279297
1,000314025202_slice15,38.760447761782096,0.9815567699041367,0.09263358265161514
2,000311228084_slice11,33.89389692858092,0.9539198753724099,0.1447145789861679
3,001083789439_slice24,38.16608238664888,0.9784293410692215,0.28529489040374756
4,000500882566_slice23,35.843425437292765,0.979882186003685,0.17047318816184998
5,000961719234_slice15,33.09795560572216,0.9369155680780411,0.27938663959503174
6,000337412566_slice14,38.5697359404641,0.9803167188339234,0.07871411740779877
7,000696960682_slice9,39.9654874809316,0.9828732311925888,0.0846015214920044
8,001025550152_slice16,34.216435848196404,0.9669763233366012,0.20382827520370483
9,001012126889_slice17,34.91087960205544,0.9656121481208801,0.20762260258197784
10,000399869215_slice13,36.43123821324066,0.9729121388912201,0.08964890986680984
11,000947193547_slice5,32.915306777721256,0.952885796412468,0.26959937810897827
12,000347539107_slice26,41.124956597416386,0.9893221128416061,0.07788195461034775
13,001808538100_slice9,30.67930289853618,0.9318139156064987,0.2673071026802063
14,001096709026_slice16,32.770060319046834,0.9588716964530944,0.20490619540214539
15,000316805394_slice11,35.922377151439015,0.9721581692285538,0.09443466365337372
16,000911620924_slice18,33.02920154764451,0.9356657860584259,0.2659160792827606
17,000543307151_slice17,37.61509233823937,0.9795620382843018,0.08369634300470352
18,001842259648_slice24,41.58881666068977,0.987781410147667,0.13618186116218567
19,001063297025_slice9,38.532403230821565,0.9779995670814514,0.11908601969480515
20,001096709026_slice21,34.815241535526084,0.9698947363004684,0.21503880620002747
21,000550563000_slice3,34.004343682506644,0.9636174046659469,0.2046642303466797
22,000550563000_slice1,33.8436038897461,0.9599128942928314,0.20392285287380219
23,000995235335_slice8,31.627061912362244,0.9247909913768768,0.27118754386901855
24,001879352377_slice21,36.778182910160176,0.9783881599874497,0.21441730856895447
25,000945426716_slice8,34.874936251650595,0.9501702162332535,0.26568424701690674
26,000500882566_slice15,34.22593335292871,0.9685729092617035,0.15430384874343872
27,000543307151_slice25,39.87724518902117,0.9867740842533111,0.0847242921590805
28,001037881059_slice12,33.97912058193412,0.958935837463379,0.24374264478683472
29,001808538100_slice8,30.93521079159754,0.9324596001582146,0.27235737442970276
30,000998241845_slice9,33.337121866725504,0.9432318374900818,0.2679283618927002
31,001050720368_slice3,32.46532960822689,0.9486561451654434,0.255318284034729
32,000985941214_slice16,33.0997126154563,0.9356601902256012,0.2665930688381195
33,000696960682_slice3,41.5126260892187,0.9855949514598846,0.08051364123821259
34,000966900632_slice21,33.86621421871043,0.9390431706857681,0.270857572555542
35,000543307151_slice4,34.0541609454625,0.9613824072446823,0.14600136876106262
36,001808012216_slice10,33.48220186171508,0.952729724489212,0.2015663981437683
37,000324820801_slice21,40.49791708864802,0.9867744119472504,0.04823091998696327
38,001876264214_slice4,32.053090860618866,0.9440893945374489,0.2628494203090668
39,001849667681_slice6,35.220636137815845,0.9603820030975342,0.17252826690673828
40,000541655453_slice23,35.6364966741459,0.9791377098941803,0.17704519629478455
41,001876182454_slice16,34.14532072172632,0.9675887483701706,0.22106817364692688
42,000913186207_slice14,31.171859985759582,0.9254915961999893,0.2503631114959717
43,000578161058_slice20,33.31284969960319,0.968706187992096,0.15927807986736298
44,000934691111_slice9,31.682792849608134,0.9413811115121842,0.2553499937057495
45,000324820801_slice14,38.10391190916479,0.9781916833295822,0.07927470654249191
46,001012126889_slice20,35.46747054937482,0.970023163892746,0.2203345149755478
47,000333525993_slice15,38.69210506408622,0.9829889765281677,0.06860407441854477
48,001025550152_slice22,36.45287911513968,0.9769034164514542,0.23539161682128906
49,000945426716_slice4,35.30218382936805,0.9600492940979004,0.2944799065589905
50,000928999279_slice4,36.06927373369514,0.9615579280433655,0.31058651208877563
51,001029291693_slice26,38.73837319424611,0.9804299593687057,0.2741849422454834
52,000345930547_slice4,37.39622110313881,0.9705380371446609,0.13820283114910126
53,001063297025_slice18,41.00045998963264,0.9865219498138428,0.08398810029029846
54,000934994990_slice15,31.678718769069683,0.9232118875727654,0.2788548469543457
55,001897672076_slice20,35.455908940295,0.9723092998609543,0.2091742902994156
56,001074909456_slice23,37.83708012724908,0.9768519472761155,0.25171223282814026
57,001808538100_slice7,30.866580545805974,0.9344775607328415,0.266035795211792
58,001029798240_slice9,32.441152184776286,0.9471883356781006,0.22983568906784058
59,000379407687_slice8,38.25986286411591,0.9745185370492935,0.14634697139263153
60,000345930547_slice19,40.622880957568654,0.9848133079357148,0.058189939707517624
61,000945426716_slice21,34.578357361165914,0.9439277462482453,0.28438588976860046
62,000366203456_slice10,35.23825149547169,0.9617298354310989,0.12645429372787476
63,000587449609_slice23,35.66992280254602,0.9774547340698242,0.20020903646945953
64,001806046107_slice11,32.14566797720265,0.9483157953128815,0.22670984268188477
65,000316805394_slice15,36.13514716936163,0.9773114134044647,0.07478368282318115
66,001053294261_slice26,38.442246586874695,0.9780872273855209,0.3287942707538605
67,000947193547_slice20,31.943752820319673,0.9242224960012436,0.26736825704574585
68,001059709071_slice4,30.24946866893036,0.923670661040306,0.26213574409484863
69,000970643018_slice6,41.92031810822756,0.9932064427757263,0.04376016929745674
70,001839278328_slice26,40.31283843442662,0.9826822995128631,0.3449075222015381
71,001038889530_slice3,30.147644023206233,0.9264152529344559,0.2598932981491089
72,001046143247_slice26,38.83130270363081,0.9774228224840165,0.3312302827835083
73,001083789439_slice10,33.229478061681974,0.9505852346906662,0.23304912447929382
74,000305738011_slice17,40.40957520500782,0.9860214827470779,0.061904679983854294
75,001029798240_slice26,39.29257595175774,0.9807576859731674,0.31492379307746887
76,000646180664_slice8,39.701653064283555,0.9811530384883881,0.091597780585289
77,001860916274_slice13,32.57727714648419,0.9543665201911926,0.17863866686820984
78,001874921003_slice21,36.2954451444638,0.9684994937438964,0.23978164792060852
79,001896831287_slice25,41.97259339820407,0.987072017665863,0.17043283581733704
80,001071071414_slice26,40.10518671890796,0.981194180861473,0.34125351905822754
81,001854193267_slice19,33.888091371474765,0.9688613258361817,0.22592367231845856
82,000345930547_slice11,38.80570768840828,0.9763905640974044,0.10410153865814209
83,000372130786_slice23,43.294176739557784,0.9914554420022964,0.04619985818862915
84,000976562096_slice20,33.84620613189465,0.943280180015564,0.27789732813835144
85,000981972381_slice21,32.676325370592124,0.9300210398426056,0.3037509620189667
86,000684566944_slice23,39.371415793063015,0.9801059860801696,0.2947655916213989
87,000388045207_slice23,40.035388109070055,0.9881243480758667,0.05664220452308655
88,001814461524_slice25,41.57843001386284,0.9862023759431839,0.31323742866516113
89,001021160062_slice16,34.37531401068823,0.9652741764678955,0.2099442034959793
90,001835089949_slice27,43.77028219674357,0.9887373601989746,0.3711092472076416
91,001071071414_slice14,33.66737322313522,0.959190843416214,0.21760201454162598
92,000945361230_slice2,39.163504728226194,0.9719764518632888,0.34560197591781616
93,000399869215_slice24,39.30268693357516,0.9864991572847366,0.07822637259960175
94,001025797909_slice25,37.039260882497246,0.9725067854785919,0.3202168047428131
95,001009914240_slice7,32.73729812360778,0.9521753733215332,0.23617082834243774
96,000327099741_slice26,41.7289193052994,0.9890015663375854,0.08034688234329224
97,001038889530_slice23,34.69003683746357,0.9688329866266251,0.27019086480140686
